27-Dec-2023 21:29:02 - num of feature = 2308
27-Dec-2023 21:31:15 - iter: 37/70 time: 1.1162s fit: 0.030434
27-Dec-2023 21:31:17 - iter: 38/70 time: 1.1441s fit: 0.029529
27-Dec-2023 21:31:18 - iter: 39/70 time: 1.1793s fit: 0.029165
27-Dec-2023 21:31:19 - iter: 40/70 time: 1.1629s fit: 0.027969
27-Dec-2023 21:31:20 - iter: 41/70 time: 1.1346s fit: 0.028213
27-Dec-2023 21:31:21 - iter: 42/70 time: 1.1351s fit: 0.026932
27-Dec-2023 21:31:22 - iter: 43/70 time: 1.1463s fit: 0.025958
27-Dec-2023 21:31:24 - iter: 44/70 time: 1.1976s fit: 0.026685
27-Dec-2023 21:31:25 - iter: 45/70 time: 1.1391s fit: 0.027413
27-Dec-2023 21:31:26 - iter: 46/70 time: 1.1365s fit: 0.027452
27-Dec-2023 21:31:27 - iter: 47/70 time: 1.1241s fit: 0.024946
27-Dec-2023 21:31:28 - iter: 48/70 time: 1.1373s fit: 0.026835
27-Dec-2023 21:31:29 - iter: 49/70 time: 1.1358s fit: 0.025672
27-Dec-2023 21:31:30 - iter: 50/70 time: 1.1089s fit: 0.026585
27-Dec-2023 21:31:31 - iter: 51/70 time: 1.1247s fit: 0.024734
27-Dec-2023 21:31:33 - iter: 52/70 time: 1.1223s fit: 0.02486
27-Dec-2023 21:31:34 - iter: 53/70 time: 1.12s fit: 0.025119
27-Dec-2023 21:31:35 - iter: 54/70 time: 1.1396s fit: 0.024582
27-Dec-2023 21:31:36 - iter: 55/70 time: 1.1481s fit: 0.025634
27-Dec-2023 21:31:37 - iter: 56/70 time: 1.1178s fit: 0.025914
27-Dec-2023 21:31:38 - iter: 57/70 time: 1.1255s fit: 0.027679
27-Dec-2023 21:31:39 - iter: 58/70 time: 1.1074s fit: 0.026336
27-Dec-2023 21:31:40 - iter: 59/70 time: 1.1366s fit: 0.026709
27-Dec-2023 21:31:42 - iter: 60/70 time: 1.1109s fit: 0.026362
27-Dec-2023 21:31:43 - iter: 61/70 time: 1.108s fit: 0.025936
27-Dec-2023 21:31:44 - iter: 62/70 time: 1.1258s fit: 0.024667
27-Dec-2023 21:31:45 - iter: 63/70 time: 1.1148s fit: 0.02479
27-Dec-2023 21:31:46 - iter: 64/70 time: 1.1326s fit: 0.025009
27-Dec-2023 21:31:47 - iter: 65/70 time: 1.2369s fit: 0.026557
27-Dec-2023 21:31:48 - iter: 66/70 time: 1.1522s fit: 0.024088
27-Dec-2023 21:31:50 - iter: 67/70 time: 1.1408s fit: 0.026052
27-Dec-2023 21:31:51 - iter: 68/70 time: 1.1123s fit: 0.026314
27-Dec-2023 21:31:52 - iter: 69/70 time: 1.1259s fit: 0.026212
27-Dec-2023 21:31:53 - iter: 70/70 time: 1.1279s fit: 0.025116
27-Dec-2023 21:31:56 - round1/1 fold2/10 - time:85.1494s train_acc:1 test_acc:1 size:52
27-Dec-2023 21:31:59 - iter: 1/70 time: 1.2707s fit: 0.08929
27-Dec-2023 21:32:00 - iter: 2/70 time: 1.2497s fit: 0.084652
27-Dec-2023 21:32:01 - iter: 3/70 time: 1.2209s fit: 0.079089
27-Dec-2023 21:32:02 - iter: 4/70 time: 1.176s fit: 0.070242
27-Dec-2023 21:32:04 - iter: 5/70 time: 1.217s fit: 0.064865
27-Dec-2023 21:32:05 - iter: 6/70 time: 1.1546s fit: 0.062732
27-Dec-2023 21:32:06 - iter: 7/70 time: 1.1802s fit: 0.059882
27-Dec-2023 21:32:07 - iter: 8/70 time: 1.2038s fit: 0.056665
27-Dec-2023 21:32:08 - iter: 9/70 time: 1.1567s fit: 0.051946
27-Dec-2023 21:32:09 - iter: 10/70 time: 1.2248s fit: 0.043288
27-Dec-2023 21:32:11 - iter: 11/70 time: 1.1721s fit: 0.044189
27-Dec-2023 21:32:12 - iter: 12/70 time: 1.1604s fit: 0.042025
27-Dec-2023 21:32:13 - iter: 13/70 time: 1.1594s fit: 0.041661
27-Dec-2023 21:32:14 - iter: 14/70 time: 1.1388s fit: 0.042115
27-Dec-2023 21:32:15 - iter: 15/70 time: 1.1146s fit: 0.037994
27-Dec-2023 21:32:16 - iter: 16/70 time: 1.1396s fit: 0.035664
27-Dec-2023 21:32:18 - iter: 17/70 time: 1.1214s fit: 0.033652
27-Dec-2023 21:32:19 - iter: 18/70 time: 1.1166s fit: 0.031472
27-Dec-2023 21:32:20 - iter: 19/70 time: 1.1312s fit: 0.028508
27-Dec-2023 21:32:21 - iter: 20/70 time: 1.1987s fit: 0.031703
27-Dec-2023 21:32:22 - iter: 21/70 time: 1.1864s fit: 0.029286
27-Dec-2023 21:32:23 - iter: 22/70 time: 1.2449s fit: 0.028686
27-Dec-2023 21:32:25 - iter: 23/70 time: 1.1554s fit: 0.029878
27-Dec-2023 21:32:26 - iter: 24/70 time: 1.1286s fit: 0.028218
27-Dec-2023 21:32:27 - iter: 25/70 time: 1.1101s fit: 0.026569
27-Dec-2023 21:32:28 - iter: 26/70 time: 1.1156s fit: 0.027369
27-Dec-2023 21:32:29 - iter: 27/70 time: 1.1226s fit: 0.025896
27-Dec-2023 21:32:30 - iter: 28/70 time: 1.1224s fit: 0.027166
27-Dec-2023 21:32:31 - iter: 29/70 time: 1.1497s fit: 0.028015
